Repository 1,Repository 2,Similarity Score
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-notification-app-statistics,0.6379455568928788
minvws/nl-covid19-notification-app-website,minvws/nl-covid19-coronacheck-website,0.6732744564022903
minvws/nl-covid19-notification-app-website,etalab/etalab-website,0.5012101373178605
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-community-website,0.5651018299596112
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-iccportal,0.6334255130075502
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-provenance,0.6476642157224631
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-backend,0.6997220407406589
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-ios,0.6825072606611943
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-dbco-app-android,0.7092197552592591
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-notification-app-statistics,0.6476642157224631
minvws/nl-covid19-notification-app-android,minvws/nl-covid19-coronacheck-app-android,0.7460827461788686
minvws/nl-covid19-notification-app-android,minvws/nl-rdo-app-android-modules,0.5186393155964831
minvws/nl-covid19-notification-app-android,corona-warn-app/cwa-app-android,0.5387403837204058
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-iccportal,0.5244631627755875
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-provenance,0.536252512756499
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-backend,0.5793553101582444
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-ios,0.5651018299596112
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-notification-app-statistics,0.536252512756499
minvws/nl-covid19-notification-app-community-website,minvws/nl-covid19-coronacheck-website,0.5659497352391143
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-provenance,0.6010881667444794
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-backend,0.6494023113973333
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-ios,0.6334255130075502
minvws/nl-covid19-notification-app-iccportal,minvws/nl-covid19-notification-app-statistics,0.6010881667444794
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-notification-app-backend,0.6640001548129861
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-notification-app-ios,0.6476642157224631
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-notification-app-statistics,0.6145999617953121
minvws/nl-covid19-notification-app-provenance,minvws/nl-covid19-coronacheck-app-provenance,0.7717973287732482
minvws/nl-covid19-notification-app-backend,minvws/nl-covid19-notification-app-ios,0.6997220407406589
minvws/nl-covid19-notification-app-backend,minvws/nl-covid19-data-backend-processing,0.5492365231322017
minvws/nl-covid19-notification-app-backend,minvws/nl-covid19-dbco-app-backend,0.6948494826504774
minvws/nl-covid19-notification-app-backend,minvws/nl-covid19-notification-app-statistics,0.6640001548129861
minvws/nl-covid19-notification-app-backend,minvws/nl-covid19-securemail-backend,0.5607016232507682
minvws/nl-covid19-notification-app-ios,minvws/nl-covid19-notification-app-statistics,0.6476642157224631
minvws/nl-covid19-notification-app-ios,minvws/nl-covid19-dbco-app-ios,0.7092197552592591
minvws/nl-covid19-notification-app-ios,minvws/nl-covid19-coronacheck-app-ios,0.7460827461788686
minvws/nl-covid19-notification-app-ios,minvws/nl-rdo-app-ios-modules,0.5186393155964831
minvws/nl-covid19-notification-app-ios,corona-warn-app/cwa-app-ios,0.5387403837204058
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-dbco-app-coordination,0.7093495275368407
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-dbco-app-backend,0.7219815312608139
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-dbco-app-android,0.7052791043211875
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-dbco-app-ios,0.7052791043211875
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-dbco-portal-design,0.8092876121216553
minvws/nl-covid19-dbco-app-design,minvws/nl-covid19-coronacheck-app-design,0.7203928127708347
minvws/nl-covid19-dbco-app-design,etalab/design,0.5277165436786503
minvws/nl-covid19-dbco-app-coordination,minvws/nl-covid19-dbco-app-backend,0.7219815312608139
minvws/nl-covid19-dbco-app-coordination,minvws/nl-covid19-dbco-app-android,0.7052791043211875
minvws/nl-covid19-dbco-app-coordination,minvws/nl-covid19-dbco-app-ios,0.7052791043211875
minvws/nl-covid19-dbco-app-coordination,minvws/nl-covid19-coronacheck-app-coordination,0.7203928127708347
minvws/nl-covid19-dbco-app-coordination,minvws/nl-covid19-dbco-portal-design,0.5419634996171525
minvws/nl-covid19-data-backend-processing,minvws/nl-covid19-dbco-app-backend,0.5319934869915819
minvws/nl-covid19-data-backend-processing,minvws/nl-covid19-data-dashboard,0.5014364805045073
minvws/nl-covid19-data-backend-processing,minvws/nl-covid19-securemail-backend,0.5266349994902236
minvws/nl-covid19-data-backend-processing,etalab/covid19-data,0.5214898177602749
minvws/nl-covid19-dbco-app-backend,minvws/nl-covid19-dbco-app-android,0.7178386224802562
minvws/nl-covid19-dbco-app-backend,minvws/nl-covid19-dbco-app-ios,0.7178386224802562
minvws/nl-covid19-dbco-app-backend,minvws/nl-covid19-dbco-portal-design,0.5516147148215862
minvws/nl-covid19-dbco-app-backend,minvws/nl-covid19-securemail-backend,0.5430986453958341
minvws/nl-covid19-dbco-app-android,minvws/nl-covid19-dbco-app-ios,0.7012320382017347
minvws/nl-covid19-dbco-app-android,minvws/nl-covid19-dbco-portal-design,0.5388535788725253
minvws/nl-covid19-dbco-app-android,minvws/nl-covid19-coronacheck-app-android,0.7237475554364267
minvws/nl-covid19-dbco-app-android,minvws/nl-rdo-app-android-modules,0.5031130109074858
minvws/nl-covid19-dbco-app-android,corona-warn-app/cwa-app-android,0.5226123211259026
minvws/nl-covid19-dbco-app-ios,minvws/nl-covid19-dbco-portal-design,0.5388535788725253
minvws/nl-covid19-dbco-app-ios,minvws/nl-covid19-coronacheck-app-ios,0.7237475554364268
minvws/nl-covid19-dbco-app-ios,minvws/nl-rdo-app-ios-modules,0.5031130109074858
minvws/nl-covid19-dbco-app-ios,corona-warn-app/cwa-app-ios,0.5226123211259026
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-bff,0.6234152762432498
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-idemix,0.531867355162244
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-coronatestprovider-example,0.5392172086952483
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-dgcg-integration,0.5303583547708501
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-design,0.677952517323291
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-website,0.5705237261342189
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-provenance,0.6379431833304977
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-hcert,0.531867355162244
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-android,0.673646015541864
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-covid19-coronacheck-app-ios,0.6736460155418641
minvws/nl-covid19-coronacheck-app-coordination,minvws/nl-kat-coordination,0.5195804764501596
minvws/nl-covid19-coronacheck-app-bff,minvws/nl-covid19-coronacheck-app-design,0.6234152762432498
minvws/nl-covid19-coronacheck-app-bff,minvws/nl-covid19-coronacheck-website,0.5246284912925319
